id,address,x,y,z,stay,timestamp,bs_address,sample_time,sample_batch
4127,03D2C30A,1.554296222,-3.705226178,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:17",27
4128,03D2C30A,1.554296222,-3.705226178,0.8,1,1.66658E+12,1370022,"2022-10-24,11:43:17",27
4129,03D2C30A,1.653883342,-3.705754025,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:17",27
4130,03D2C30A,1.691356721,-3.705952647,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:17",27
4131,03D2C30A,1.720150286,-3.706105263,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:17",27
4132,03D2C30A,1.740549764,-3.706213388,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:17",27
4133,03D2C30A,1.870422425,-3.706901759,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:17",27
4134,03D2C30A,2.003950621,-3.707609505,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:17",27
4135,03D2C30A,2.1522778,-3.708395692,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:18",27
4136,03D2C30A,2.268854107,-3.709013587,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:18",27
4137,03D2C30A,2.395041002,-3.709682423,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:18",27
4138,03D2C30A,2.426616111,-3.709849782,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:18",27
4139,03D2C30A,2.452416138,-3.68513244,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:18",27
4140,03D2C30A,2.477600556,-3.595047607,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:18",27
4141,03D2C30A,2.496065088,-3.498745596,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:18",27
4142,03D2C30A,2.507892441,-3.38673062,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:18",27
4143,03D2C30A,2.512959227,-3.297163953,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:19",27
4144,03D2C30A,2.578115651,-3.33689707,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:19",27
4145,03D2C30A,2.629915616,-3.378096375,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:19",27
4146,03D2C30A,2.683273463,-3.433108956,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:19",27
4147,03D2C30A,2.683273463,-3.433108956,0.8,1,1.66658E+12,1370022,"2022-10-24,11:43:19",27
4148,03D2C30A,2.766727237,-3.399527386,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:19",27
4149,03D2C30A,2.79264893,-3.465147383,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:19",27
4150,03D2C30A,2.816543619,-3.544071923,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:19",27
4151,03D2C30A,2.832267842,-3.628317205,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:20",27
4152,03D2C30A,2.83810508,-3.707593065,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:20",27
4153,03D2C30A,2.840445529,-3.712043224,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:20",27
4154,03D2C30A,2.840755447,-3.712044867,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:20",27
4155,03D2C30A,2.840755447,-3.712044867,0.8,1,1.66658E+12,1370022,"2022-10-24,11:43:21",27
4156,03D2C30A,2.951325139,-3.712630925,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:21",27
4157,03D2C30A,3.081843773,-3.71332272,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:21",27
4158,03D2C30A,3.182007999,-3.655165385,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:21",27
4159,03D2C30A,3.140630035,-3.561211915,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:22",27
